[org.apache.commons.math.ode.events.EventStateTest.closeEvents]
src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java
00056,x
00158,x
00159,x
00161,x
00163,x
00164,x
00167,x
00168,x
00170,x
00173,x
00174,x
00175,x
00176,x
00178,x
00179,x
00180,x
00181,x
00183,x
00185,x
00195,x
00221,x
00222,x
00224,x
00225,x
00226,x
00227,x
00228,x
00229,x
00230,x
00231,x
00232,x
00233,x
00234,x
00235,x
00236,x
00237,x
00238,x
00239,x
00240,x
00241,x
00242,x
00243,x
00244,x
00245,x
00246,x
00247,x
00248,x
00249,x
00250,x
00251,x
00252,x
00253,x
00254,x
00255,x
00261,x
00262,x
00263,x
00264,x
00265,x
00267,x
00268,x
00269,x
00270,x
00272,x
00273,x
00275,x
00277,x
00278,x
00279,x
00280,x
00281,x
00282,x
00283,x
00284,x
00285,x
00286,x
00256,x
00257,x
00258,x
00259,x
00260,x
00266,x
00271,x
00274,x
00276,x
00287,x
00288,x
00289,x
00290,x
00291,x
00292,x
00293,x
00294,x
00295,x
00296,x
00297,x
00298,x
00299,x
00300,x
00301,x
00302,x
00303,x
00304,x
00305,x
00306,x
00307,x
00308,x
src/main/java/org/apache/commons/math/MathRuntimeException.java
00102,x
00103,x
00115,x
00128,x
00305,x
00306,x
00307,x
00308,x
00309,x
00310,x
00311,x
00312,x
00313,x
00314,x
00315,x
00316,x
00317,x
00318,x
00319,x
00320,x
00321,x
00322,x
src/main/java/org/apache/commons/math/ConvergingAlgorithmImpl.java
00062,x
00063,x
00064,x
00065,x
00066,x
00067,x
00068,x
00078,x
00093,x
src/main/java/org/apache/commons/math/ode/sampling/DummyStepInterpolator.java
00066,x
00099,x
src/main/java/org/apache/commons/math/ode/events/EventState.java
00096,x
00097,x
00098,x
00099,x
00102,x
00103,x
00104,x
00105,x
00106,x
00107,x
00108,x
00109,x
00151,x
00152,x
00153,x
00172,x
00173,x
00174,x
00175,x
00177,x
00178,x
00179,x
00180,x
00181,x
00182,x
00183,x
00184,x
00185,x
00186,x
00187,x
00188,x
00189,x
00190,x
00191,x
00192,x
00193,x
00194,x
00195,x
00196,x
00197,x
00198,x
00199,x
00200,x
00201,x
00202,x
00203,x
00204,x
00205,x
00206,x
00207,x
00208,x
00209,x
00210,x
00211,x
00212,x
00213,x
00214,x
00215,x
00216,x
00217,x
00218,x
00219,x
00220,x
00221,x
00222,x
00223,x
00224,x
00225,x
00226,x
00227,x
00228,x
00229,x
00230,x
00231,x
00232,x
00233,x
00234,x
00235,x
00236,x
00237,x
00238,x
00239,x
00240,x
00241,x
00242,x
00243,x
00244,x
00245,x
00246,x
00271,x
00285,x
00286,x
00288,x
00289,x
00290,x
00291,x
00292,x
00293,x
src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverImpl.java
00093,x
00094,x
00095,x
00141,x
00142,x
00143,x
00165,x
00166,x
00208,x
src/main/java/org/apache/commons/math/ode/sampling/AbstractStepInterpolator.java
00109,x
00110,x
00111,x
00112,x
00114,x
00115,x
00116,x
00118,x
00119,x
00120,x
00211,x
00219,x
00220,x
00221,x
00224,x
00235,x
00245,x
00246,x
00251,x
00272,x
00273,x
00274,x
00275,x
00276,x
00277,x
00279,x
